Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Roberta Aprile,efe90af2,,,"November 22, 2000",FC Como Women,https://fbref.com/en/players/efe90af2/,media/logos/silueta.jpg
Doris Bačić,ae754f28,185cm,,"February 23, 1995",Napoli,https://fbref.com/en/players/ae754f28/,https://fbref.com/req/202302030/images/headshots/ae754f28_2022.jpg
Rachele Baldi,377627a8,,,,,https://fbref.com/en/players/377627a8/,media/logos/silueta.jpg
Beatrice Beretta,2cfbf733,,,"July 1, 2003",Napoli,https://fbref.com/en/players/2cfbf733/,https://fbref.com/req/202302030/images/headshots/2cfbf733_2022.jpg
Alessia Cappelletti,5364239a,,,"October 13, 1998",Juventus,https://fbref.com/en/players/5364239a/,media/logos/silueta.jpg
Camelia Ceasar,6dbaaf41,170cm,58kg,"December 13, 1997",AS Roma,https://fbref.com/en/players/6dbaaf41/,https://fbref.com/req/202302030/images/headshots/6dbaaf41_2022.jpg
Sara Cetinja,c9dc3888,,,"April 16, 2000",Lazio,https://fbref.com/en/players/c9dc3888/,media/logos/silueta.jpg
Solène Durand,7bde94c6,169cm,66kg,"November 20, 1994",Sassuolo,https://fbref.com/en/players/7bde94c6/,https://fbref.com/req/202302030/images/headshots/7bde94c6_2022.jpg
Francesca Durante,3cc25ddd,181cm,63kg,"February 12, 1997",Fiorentina,https://fbref.com/en/players/3cc25ddd/,https://fbref.com/req/202302030/images/headshots/3cc25ddd_2022.jpg
Cecilie Fiskerstrand,2e2266ba,174cm,66kg,"March 20, 1996",Fiorentina,https://fbref.com/en/players/2e2266ba/,https://fbref.com/req/202302030/images/headshots/2e2266ba_2022.jpg
Astrid Gilardi,40c478e2,,,"February 19, 2003",FC Como Women,https://fbref.com/en/players/40c478e2/,media/logos/silueta.jpg
Laura Giuliani,370624db,173cm,59kg,"June 5, 1993",Milan,https://fbref.com/en/players/370624db/,https://fbref.com/req/202302030/images/headshots/370624db_2022.jpg
Kerttu Karresmaa,85feff17,,,"August 22, 2004",Lazio,https://fbref.com/en/players/85feff17/,media/logos/silueta.jpg
Isabella Kresche,241b5f2c,,,"November 28, 1998",AS Roma,https://fbref.com/en/players/241b5f2c/,https://fbref.com/req/202302030/images/headshots/241b5f2c_2022.jpg
Kathrine Larsen,d46fec96,182cm,,"May 5, 1993",Sampdoria,https://fbref.com/en/players/d46fec96/,https://fbref.com/req/202302030/images/headshots/d46fec96_2022.jpg
Lia Lonni,91f89485,,,"January 17, 2000",Sassuolo,https://fbref.com/en/players/91f89485/,media/logos/silueta.jpg
Pauline Peyraud-Magnin,c6876fd6,173cm,57kg,"March 17, 1992",Juventus,https://fbref.com/en/players/c6876fd6/,https://fbref.com/req/202302030/images/headshots/c6876fd6_2022.jpg
Lysianne Proulx,13938af8,170cm,,"April 17, 1999",Juventus,https://fbref.com/en/players/13938af8/,https://fbref.com/req/202302030/images/headshots/13938af8_2022.jpg
Cecilía Rán Rúnarsdóttir,04670675,,,"July 26, 2003",Internazionale,https://fbref.com/en/players/04670675/,https://fbref.com/req/202302030/images/headshots/04670675_2022.jpg
Giulia Ruma,79d5eead,,,"December 13, 2006",FC Como Women,https://fbref.com/en/players/79d5eead/,media/logos/silueta.jpg
Valentina Soggiu,f4de71f5,,,"January 1, 2003",FC Como Women,https://fbref.com/en/players/f4de71f5/,media/logos/silueta.jpg
Amanda Tampieri,2908fbf9,,,"February 11, 1997",Sampdoria,https://fbref.com/en/players/2908fbf9/,media/logos/silueta.jpg
