Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Latifah Abdu,d8e7e96b,170cm,,"October 18, 2001",Guingamp,https://fbref.com/en/players/d8e7e96b/,media/logos/silueta.jpg
Kayla Adamek,15fb617b,,,"February 1, 1995",Reims,https://fbref.com/en/players/15fb617b/,media/logos/silueta.jpg
Ikram Adjabi,e815ecf5,168cm,62kg,"May 23, 1998",Le Havre,https://fbref.com/en/players/e815ecf5/,media/logos/silueta.jpg
Célia Aggoune,97f4c5d5,,,"January 9, 2007",Guingamp,https://fbref.com/en/players/97f4c5d5/,media/logos/silueta.jpg
Korbin Albert,0f12a041,172cm,62kg,"October 13, 2003",Paris Saint-Germain,https://fbref.com/en/players/0f12a041/,media/logos/silueta.jpg
Nadjma Ali Nadjim,49d82495,160cm,49kg,"September 19, 1994",Saint-Étienne,https://fbref.com/en/players/49d82495/,media/logos/silueta.jpg
Lou Autin,107836e7,,,"January 25, 2006",Guingamp,https://fbref.com/en/players/107836e7/,media/logos/silueta.jpg
Inés Avenant,434b7df2,,,"May 18, 2006",Guingamp,https://fbref.com/en/players/434b7df2/,media/logos/silueta.jpg
Thaïs Aznar,856d4eab,,,"June 12, 2006",Saint-Étienne,https://fbref.com/en/players/856d4eab/,media/logos/silueta.jpg
Lorena Azzaro,10c104d5,169cm,57kg,"October 22, 2000",Strasbourg,https://fbref.com/en/players/10c104d5/,media/logos/silueta.jpg
Marème Babou,27e7b28a,163cm,,"April 13, 2003",Strasbourg,https://fbref.com/en/players/27e7b28a/,media/logos/silueta.jpg
Selma Bacha,5809ef17,161cm,58kg,"November 9, 2000",Lyon,https://fbref.com/en/players/5809ef17/,https://fbref.com/req/202302030/images/headshots/5809ef17_2022.jpg
Kentissia Bacoul-Juillard,4ad1b45a,163cm,58kg,"November 2, 2007",Montpellier,https://fbref.com/en/players/4ad1b45a/,media/logos/silueta.jpg
Evelyn Badu,e8740f89,166cm,58kg,"September 11, 2002",Fleury,https://fbref.com/en/players/e8740f89/,media/logos/silueta.jpg
Fatoumata Baldé,150c67ca,166cm,58kg,"March 7, 1993",Strasbourg,https://fbref.com/en/players/150c67ca/,media/logos/silueta.jpg
Faustine Bataillard,5dc9e956,170cm,63kg,"August 3, 2004",Saint-Étienne,https://fbref.com/en/players/5dc9e956/,https://fbref.com/req/202302030/images/headshots/5dc9e956_2022.jpg
Amandine Bèche,ab7e7c1a,164cm,58kg,"November 12, 2001",Strasbourg,https://fbref.com/en/players/ab7e7c1a/,media/logos/silueta.jpg
Vicki Bècho,a4bc9833,168cm,62kg,"October 3, 2003",Lyon,https://fbref.com/en/players/a4bc9833/,https://fbref.com/req/202302030/images/headshots/a4bc9833_2022.jpg
Morgane Belkhiter,18b4df22,170cm,54kg,"November 23, 1995",Saint-Étienne,https://fbref.com/en/players/18b4df22/,https://fbref.com/req/202302030/images/headshots/18b4df22_2022.jpg
Nermyne Ben Khaled,e67926b0,162cm,55kg,"May 14, 2002",,https://fbref.com/en/players/e67926b0/,media/logos/silueta.jpg
Laura Benkarth,82c4f339,173cm,68kg,"October 14, 1992",Lyon,https://fbref.com/en/players/82c4f339/,https://fbref.com/req/202302030/images/headshots/82c4f339_2022.jpg
Inès Benyahia,1817077f,175cm,63kg,"March 26, 2003",Lyon,https://fbref.com/en/players/1817077f/,https://fbref.com/req/202302030/images/headshots/1817077f_2022.jpg
Sabitra Bhandari,2c50e10b,,,"May 23, 1996",Guingamp,https://fbref.com/en/players/2c50e10b/,media/logos/silueta.jpg
Maureen Bigot,505c0d26,166cm,54kg,"May 3, 1996",Guingamp,https://fbref.com/en/players/505c0d26/,media/logos/silueta.jpg
Aude Bizet,b83bc2be,175cm,68kg,"March 14, 2006",Fleury,https://fbref.com/en/players/b83bc2be/,media/logos/silueta.jpg
Cyrielle Blanc,52e32ada,176cm,66kg,"January 23, 2003",Montpellier,https://fbref.com/en/players/52e32ada/,media/logos/silueta.jpg
Lou Bogaert,549915f8,170cm,62kg,"June 25, 2004",Paris FC,https://fbref.com/en/players/549915f8/,media/logos/silueta.jpg
Fiona Bogi,efeb5d24,170cm,,"January 23, 2000",Saint-Étienne,https://fbref.com/en/players/efeb5d24/,media/logos/silueta.jpg
Célestine Boisard,269a154f,,,"August 10, 2005",Le Havre,https://fbref.com/en/players/269a154f/,media/logos/silueta.jpg
Elise Bonet,2e1064ea,168cm,58kg,"January 16, 1998",Strasbourg,https://fbref.com/en/players/2e1064ea/,media/logos/silueta.jpg
Maïté Boucly,f9a07eee,,,"October 4, 2001",Reims,https://fbref.com/en/players/f9a07eee/,media/logos/silueta.jpg
Lana Boudine Faerber,439d3150,,,"November 7, 2007",Paris FC,https://fbref.com/en/players/439d3150/,media/logos/silueta.jpg
Mathilde Bourdieu,9c066c2b,165cm,67kg,"April 15, 1999",Paris FC,https://fbref.com/en/players/9c066c2b/,media/logos/silueta.jpg
Celeste Boureille,9fb7f4cb,175cm,59kg,"April 20, 1994",Montpellier,https://fbref.com/en/players/9fb7f4cb/,https://fbref.com/req/202302030/images/headshots/9fb7f4cb_2022.jpg
Léa Bourgain,a35f10f0,,,"January 26, 2004",Reims,https://fbref.com/en/players/a35f10f0/,https://fbref.com/req/202302030/images/headshots/a35f10f0_2022.jpg
Frøya Brennskag-Dorsin,9388d243,167cm,,"January 7, 2007",Paris Saint-Germain,https://fbref.com/en/players/9388d243/,media/logos/silueta.jpg
Maïwenn Brezac,9e6b33db,,,"May 8, 2006",Guingamp,https://fbref.com/en/players/9e6b33db/,media/logos/silueta.jpg
Emily Burns,6e8c2ee2,175cm,58kg,"July 24, 1997",Nantes,https://fbref.com/en/players/6e8c2ee2/,media/logos/silueta.jpg
Zoe Burns,215f5967,158cm,52kg,"January 5, 2002",Fleury,https://fbref.com/en/players/215f5967/,media/logos/silueta.jpg
Kessya Bussy,fa205073,165cm,52kg,"June 19, 2001",Paris FC,https://fbref.com/en/players/fa205073/,media/logos/silueta.jpg
Anaïg Butel,74c78fea,167cm,50kg,"February 15, 1992",Fleury,https://fbref.com/en/players/74c78fea/,https://fbref.com/req/202302030/images/headshots/74c78fea_2022.jpg
Lucie Calba,5abdde7b,,,"February 24, 2005",Reims,https://fbref.com/en/players/5abdde7b/,media/logos/silueta.jpg
Sarah Cambot,d755fdf8,165cm,59kg,"January 4, 1993",Saint-Étienne,https://fbref.com/en/players/d755fdf8/,media/logos/silueta.jpg
Laurie Cance,c685a294,158cm,48kg,"May 11, 1995",Le Havre,https://fbref.com/en/players/c685a294/,media/logos/silueta.jpg
Cindy Caputo,e0dac569,165cm,57kg,"February 7, 1999",Saint-Étienne,https://fbref.com/en/players/e0dac569/,media/logos/silueta.jpg
Noémie Carage,563c1514,,,,,https://fbref.com/en/players/563c1514/,media/logos/silueta.jpg
Mickaélla Cardia,da8af643,159cm,50kg,"March 16, 2000",Le Havre,https://fbref.com/en/players/da8af643/,https://fbref.com/req/202302030/images/headshots/da8af643_2022.jpg
Ellie Carpenter,5f2af172,164cm,58kg,"April 28, 2000",Lyon,https://fbref.com/en/players/5f2af172/,https://fbref.com/req/202302030/images/headshots/5f2af172_2022.jpg
Rosalie Chaine Rochette,2af7b8d6,169cm,58kg,"February 7, 2007",Montpellier,https://fbref.com/en/players/2af7b8d6/,media/logos/silueta.jpg
Solene Champagnac,11e93420,166cm,57kg,"May 31, 1999",Saint-Étienne,https://fbref.com/en/players/11e93420/,media/logos/silueta.jpg
Amanda Chaney,4b54792a,167cm,,"March 17, 2000",Strasbourg,https://fbref.com/en/players/4b54792a/,media/logos/silueta.jpg
Kenza Chapelle,c9f329a3,165cm,58kg,"August 22, 2002",Strasbourg,https://fbref.com/en/players/c9f329a3/,https://fbref.com/req/202302030/images/headshots/c9f329a3_2022.jpg
Tabitha Chawinga,d703ce72,,,"May 22, 1996",Lyon,https://fbref.com/en/players/d703ce72/,https://fbref.com/req/202302030/images/headshots/d703ce72_2022.jpg
Wu Chengshu,84fba3e6,166cm,55kg,"August 26, 1996",Dijon,https://fbref.com/en/players/84fba3e6/,https://fbref.com/req/202302030/images/headshots/84fba3e6_2022.jpg
Adéle Connesson,673a5b36,169cm,58kg,"June 18, 2004",Saint-Étienne,https://fbref.com/en/players/673a5b36/,media/logos/silueta.jpg
Judith Coquet,4dad8991,160cm,49kg,"August 5, 2003",Montpellier,https://fbref.com/en/players/4dad8991/,https://fbref.com/req/202302030/images/headshots/4dad8991_2022.jpg
Daphne Corboz,1a95407f,157cm,53kg,"June 14, 1993",Paris FC,https://fbref.com/en/players/1a95407f/,https://fbref.com/req/202302030/images/headshots/1a95407f_2022.jpg
Rachel Corboz,e939b464,165cm,,"May 1, 1996",Reims,https://fbref.com/en/players/e939b464/,media/logos/silueta.jpg
Caitlin Cosme,954b6033,165cm,57kg,"January 19, 1999",Nantes,https://fbref.com/en/players/954b6033/,media/logos/silueta.jpg
Maureen Cosson,9cdf39dd,,,,,https://fbref.com/en/players/9cdf39dd/,media/logos/silueta.jpg
