Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Greta Adami,231286ac,164cm,57kg,"July 30, 1992",Sassuolo,https://fbref.com/en/players/231286ac/,media/logos/silueta.jpg
Eseosa Aigbogun,2dee6fe8,166cm,54kg,"May 23, 1993",AS Roma,https://fbref.com/en/players/2dee6fe8/,https://fbref.com/req/202302030/images/headshots/2dee6fe8_2022.jpg
Marija Ana Milinković,fbeb6650,,,"November 16, 2004",Internazionale,https://fbref.com/en/players/fbeb6650/,media/logos/silueta.jpg
Ivana Andrés,d0309b28,169cm,,"July 13, 1994",Internazionale,https://fbref.com/en/players/d0309b28/,https://fbref.com/req/202302030/images/headshots/d0309b28_2022.jpg
Klara Andrup,27b497d1,,,"November 28, 1997",Napoli,https://fbref.com/en/players/27b497d1/,media/logos/silueta.jpg
Roberta Aprile,efe90af2,,,"November 22, 2000",FC Como Women,https://fbref.com/en/players/efe90af2/,media/logos/silueta.jpg
Nicole Arcangeli,08678034,,,"October 23, 2003",Sampdoria,https://fbref.com/en/players/08678034/,https://fbref.com/req/202302030/images/headshots/08678034_2022.jpg
Giorgia Arrigoni,8f20314b,,,"October 4, 2004",Milan,https://fbref.com/en/players/8f20314b/,https://fbref.com/req/202302030/images/headshots/8f20314b_2022.jpg
Verena Aschauer,81bc6c20,166cm,,"January 20, 1994",West Ham United,https://fbref.com/en/players/81bc6c20/,https://fbref.com/req/202302030/images/headshots/81bc6c20_2022.jpg
Doris Bačić,ae754f28,185cm,,"February 23, 1995",Napoli,https://fbref.com/en/players/ae754f28/,https://fbref.com/req/202302030/images/headshots/ae754f28_2022.jpg
Rachele Baldi,377627a8,174cm,,"October 2, 1994",Internazionale,https://fbref.com/en/players/377627a8/,https://fbref.com/req/202302030/images/headshots/377627a8_2022.jpg
Sara Baldi,4d53125d,,,"April 13, 2000",Sampdoria,https://fbref.com/en/players/4d53125d/,media/logos/silueta.jpg
Stine Ballisager Pedersen,41880331,171cm,,"January 3, 1994",Fiorentina,https://fbref.com/en/players/41880331/,https://fbref.com/req/202302030/images/headshots/41880331_2022.jpg
Carina Baltrip-Reyes,7c14fad8,170cm,,"July 1, 1998",Lazio,https://fbref.com/en/players/7c14fad8/,https://fbref.com/req/202302030/images/headshots/7c14fad8_2022.jpg
Marija Banušić,f5169f62,176cm,68kg,"September 17, 1995",Napoli,https://fbref.com/en/players/f5169f62/,https://fbref.com/req/202302030/images/headshots/f5169f62_2022.jpg
Alice Barbieri,ae1a162a,,,"October 29, 2003",Sampdoria,https://fbref.com/en/players/ae1a162a/,media/logos/silueta.jpg
Elisa Bartoli,0ca0afb1,160cm,52kg,"May 7, 1991",Internazionale,https://fbref.com/en/players/0ca0afb1/,https://fbref.com/req/202302030/images/headshots/0ca0afb1_2022.jpg
Chiara Beccari,f24f2dce,169cm,,"September 27, 2004",Juventus,https://fbref.com/en/players/f24f2dce/,https://fbref.com/req/202302030/images/headshots/f24f2dce_2022.jpg
Benedetta Bedini,10eda8b3,,,"July 11, 2008",Fiorentina,https://fbref.com/en/players/10eda8b3/,media/logos/silueta.jpg
Vivien Beil,1f2d2a17,164cm,,"December 12, 1995",Napoli,https://fbref.com/en/players/1f2d2a17/,media/logos/silueta.jpg
Inès Belloumou,c77f42ef,,,"June 21, 2001",Malmö,https://fbref.com/en/players/c77f42ef/,media/logos/silueta.jpg
Melissa Bellucci,54391ddc,,,"February 8, 2001",Napoli,https://fbref.com/en/players/54391ddc/,media/logos/silueta.jpg
Hanna Bennison,0ce72873,152cm,,"October 16, 2002",Juventus,https://fbref.com/en/players/0ce72873/,https://fbref.com/req/202302030/images/headshots/0ce72873_2022.jpg
Alice Benoit,b4a042dc,,,"March 27, 1996",Lazio,https://fbref.com/en/players/b4a042dc/,media/logos/silueta.jpg
Kiara Bercelli,a501ab30,164cm,,"February 23, 2005",Sampdoria,https://fbref.com/en/players/a501ab30/,https://fbref.com/req/202302030/images/headshots/a501ab30_2022.jpg
Beatrice Beretta,2cfbf733,,,"July 1, 2003",Napoli,https://fbref.com/en/players/2cfbf733/,https://fbref.com/req/202302030/images/headshots/2cfbf733_2022.jpg
Valentina Bergamaschi,bd284d1c,160cm,57kg,"January 22, 1997",Juventus,https://fbref.com/en/players/bd284d1c/,https://fbref.com/req/202302030/images/headshots/bd284d1c_2022.jpg
Mina Bergersen,1ac798fd,,,"July 10, 2003",FC Como Women,https://fbref.com/en/players/1ac798fd/,media/logos/silueta.jpg
