Player,Player_ID,Height,Weight,Birth_Date,Club,Player_URL,Photo
Laura Benkarth,82c4f339,173cm,68kg,"October 14, 1992",Lyon,https://fbref.com/en/players/82c4f339/,https://fbref.com/req/202302030/images/headshots/82c4f339_2022.jpg
Emily Burns,6e8c2ee2,175cm,58kg,"July 24, 1997",Nantes,https://fbref.com/en/players/6e8c2ee2/,media/logos/silueta.jpg
Mary Earps,ca2eabf4,173cm,68kg,"March 7, 1993",Paris Saint-Germain,https://fbref.com/en/players/ca2eabf4/,https://fbref.com/req/202302030/images/headshots/ca2eabf4_2022.jpg
Christiane Endler,ebd3c5f6,182cm,64kg,"July 23, 1991",Lyon,https://fbref.com/en/players/ebd3c5f6/,https://fbref.com/req/202302030/images/headshots/ebd3c5f6_2022.jpg
Emma Francart,41c99870,172cm,68kg,"January 31, 2004",Fleury,https://fbref.com/en/players/41c99870/,https://fbref.com/req/202302030/images/headshots/41c99870_2022.jpg
Maryne Gignoux-Soulier,86f16d48,170cm,62kg,"July 15, 1996",Saint-Étienne,https://fbref.com/en/players/86f16d48/,media/logos/silueta.jpg
Manon Heil,e617f92c,173cm,68kg,"March 11, 1997",Reims,https://fbref.com/en/players/e617f92c/,media/logos/silueta.jpg
Katarzyna Kiedrzynek,61edfc33,180cm,63kg,"March 19, 1991",Paris Saint-Germain,https://fbref.com/en/players/61edfc33/,https://fbref.com/req/202302030/images/headshots/61edfc33_2022.jpg
Elisa Launay,23d42688,169cm,62kg,"September 9, 1997",Reims,https://fbref.com/en/players/23d42688/,media/logos/silueta.jpg
Justine Lerond,5b0437e0,169cm,73kg,"February 29, 2000",Montpellier,https://fbref.com/en/players/5b0437e0/,https://fbref.com/req/202302030/images/headshots/5b0437e0_2022.jpg
Lisa Lichtfus,a484af3a,172cm,59kg,"December 28, 1999",Le Havre,https://fbref.com/en/players/a484af3a/,https://fbref.com/req/202302030/images/headshots/a484af3a_2022.jpg
Inès Marques,4c0b9979,169cm,59kg,"March 25, 2004",Paris FC,https://fbref.com/en/players/4c0b9979/,https://fbref.com/req/202302030/images/headshots/4c0b9979_2022.jpg
Kayza Massey,aaf218d7,175cm,,"February 2, 2001",Reims,https://fbref.com/en/players/aaf218d7/,media/logos/silueta.jpg
Marie Morgane Sieber,2e0450e7,175cm,66kg,"July 15, 2002",Guingamp,https://fbref.com/en/players/2e0450e7/,media/logos/silueta.jpg
Chiamaka Nnadozie,cb4cf8e0,174cm,55kg,"December 8, 2000",Paris FC,https://fbref.com/en/players/cb4cf8e0/,https://fbref.com/req/202302030/images/headshots/cb4cf8e0_2022.jpg
Cindy Perrault,8f997d3b,172cm,63kg,"January 26, 1996",Guingamp,https://fbref.com/en/players/8f997d3b/,media/logos/silueta.jpg
Marie Petiteau,0f2bb0d5,180cm,68kg,"June 12, 2002",Montpellier,https://fbref.com/en/players/0f2bb0d5/,media/logos/silueta.jpg
Constance Picaud,78790d43,180cm,62kg,"July 5, 1998",Fleury,https://fbref.com/en/players/78790d43/,https://fbref.com/req/202302030/images/headshots/78790d43_2022.jpg
Alice Pinguet,ccc84fcc,174cm,64kg,"June 29, 2002",Dijon,https://fbref.com/en/players/ccc84fcc/,media/logos/silueta.jpg
Katriina Talaslahti,6bb6770e,181cm,68kg,"September 21, 2000",Dijon,https://fbref.com/en/players/6bb6770e/,https://fbref.com/req/202302030/images/headshots/6bb6770e_2022.jpg
Manon Wahl,cd7e7634,170cm,,"June 27, 2001",Strasbourg,https://fbref.com/en/players/cd7e7634/,media/logos/silueta.jpg
