Squad,Shield URL
Athletic Club,https://cdn.resfu.com/img_data/equipos/8845.png?size=120x&lossy=1&v=1
Atlético de Madrid,https://cdn.resfu.com/img_data/equipos/12279.png?size=120x&lossy=1&v=1
FC Barcelona,https://cdn.resfu.com/img_data/equipos/8852.png?size=120x&lossy=1&v=1
Costa Adeje Tenerife,https://cdn.resfu.com/img_data/equipos/12369.png?size=120x&lossy=1&v=1
Deportivo Abanca,https://cdn.resfu.com/img_data/equipos/8870.png?size=120x&lossy=1&v=1
SD Eibar,https://cdn.resfu.com/img_data/equipos/66085.png?size=120x&lossy=1&v=1
RCD Espanyol,https://cdn.resfu.com/img_data/equipos/8847.png?size=120x&lossy=1&v=1
Granada CF,https://cdn.resfu.com/img_data/equipos/8909.png?size=120x&lossy=1&v=1
FC Levante Badalona,https://cdn.resfu.com/img_data/equipos/20435.png?size=120x&lossy=1&v=1
Levante UD,https://cdn.resfu.com/img_data/equipos/8859.png?size=120x&lossy=1&v=1
Madrid CFF,https://cdn.resfu.com/img_data/equipos/12358.png?size=120x&lossy=1&v=1
R. Betis Féminas,https://cdn.resfu.com/img_data/equipos/10831.png?size=120x&lossy=1&v=1
Real Madrid CF,https://cdn.resfu.com/img_data/equipos/12364.png?size=120x&lossy=1&v=1
Real Sociedad,https://cdn.resfu.com/img_data/equipos/8843.png?size=120x&lossy=1&v=1
Sevilla FC,https://cdn.resfu.com/img_data/equipos/12280.png?size=120x&lossy=1&v=1
VCF Femenino,https://cdn.resfu.com/img_data/equipos/8842.png?size=120x&lossy=1&v=1
