Squad,Shield URL
Olympique Lyonnais,https://cdn-transverse.azureedge.net/phlogos/BC500080.jpg
Paris Saint-Germain,https://cdn-transverse.azureedge.net/phlogos/BC500247.jpg
Paris FC,https://cdn-transverse.azureedge.net/phlogos/BC500568.jpg
Dijon FCO,https://cdn-transverse.azureedge.net/phlogos/BC547450.jpg
FC Fleury 91,https://cdn-transverse.azureedge.net/phlogos/BC524861.jpg
Montpellier HSC,https://cdn-transverse.azureedge.net/phlogos/BC500099.jpg
FC Nantes,https://cdn-transverse.azureedge.net/phlogos/BC501904.jpg
Havre AC,https://cdn-transverse.azureedge.net/phlogos/BC500052.jpg
AS Saint Etienne,https://cdn-transverse.azureedge.net/phlogos/BC500225.jpg
Stade de Reims,https://cdn-transverse.azureedge.net/phlogos/BC542397.jpg
RC Strasbourg Alsace,https://cdn-transverse.azureedge.net/phlogos/BC500191.jpg
EA Guingamp,https://cdn-transverse.azureedge.net/phlogos/BC500126.jpg
