Squad,Shield URL
Bayern München,https://assets.dfb.de/uploads/000/312/135/original_FC_Bayern_Muenchen_500x500x_ab_10_2024.jpg?1730901289
Eintracht Frankfurt,https://assets.dfb.de/uploads/000/018/117/original_Eintracht_Frankfurt.jpg?1493059503
VfL Wolfsburg,https://assets.dfb.de/uploads/000/300/941/original_VfL_Wolfsburg_500x500_2024.jpg?1712667245
Bayer 04 Leverkusen,https://assets.dfb.de/uploads/000/292/198/original_Bayer_04_Leverkusen.jpg?1696941926
SC Freiburg,https://assets.dfb.de/uploads/000/018/224/original_sc-freiburg.jpg?1493059539
TSG Hoffenheim,https://assets.dfb.de/uploads/000/113/632/original_1899_hoffenheim.jpg?1493132487
RB Leipzig,https://assets.dfb.de/uploads/000/300/937/original_RB_Leipzig_500x500_2024.jpg?1712667223
SV Werder Bremen,https://assets.dfb.de/uploads/000/018/246/original_werder-bremen.jpg?1493059547
SGS Essen,https://assets.dfb.de/uploads/000/300/939/original_SGS_Essen_500x500_2024.jpg?1712667234
1. FC Köln,https://assets.dfb.de/uploads/000/018/194/original_fc-koeln.jpg?1493059529
FC Carl Zeiss Jena,https://assets.dfb.de/uploads/000/112/073/original_carl-zeiss-jena.jpg?1493131045
Turbine Potsdam,https://assets.dfb.de/uploads/000/201/602/original_Turbine_Potsdam_Logo_2019_(500).jpg?1561040702
