Player,Pos,Squad,League,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,Save%_PK,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,Pass_Cmp_+40y,Pass_Att_+40y,Pass_Cmp_+40y%,GK_Att,GK_Att.1,Pass_Launch%,Pass_AvgLen,Opp,Stp%,#OPA,#OPA/90,AvgDist
Lisa Lichtfus,GK,Havre AC,Première Ligue - FRA,1999,18,18,1620,18.0,36,2.0,105,68,67.6,5,3,10,2,11.1,2,2,0.0,0.0,5.0,0.0,31.6,0.29,-4.4,53.0,158.0,33.5,369.0,138.0,29.0,31.8,281.0,2.1,7.0,0.39,11.0
Inès Marques,GK,Paris FC,Première Ligue - FRA,2004,3,3,270,3.0,2,0.67,9,7,77.8,3,0,0,1,33.3,0,0,0.0,0.0,1.0,0.0,1.7,0.19,-0.3,5.0,14.0,35.7,98.0,16.0,12.2,26.4,28.0,10.7,3.0,1.0,13.9
Kayza Massey,GK,Stade de Reims,Première Ligue - FRA,2001,6,5,504,5.6,14,2.5,38,23,63.2,0,1,4,1,20.0,1,0,0.0,0.0,1.0,0.0,9.7,0.25,-4.3,18.0,63.0,28.6,145.0,32.0,30.3,32.3,74.0,6.8,6.0,1.07,17.0
Marie Morgane Sieber,GK,EA Guingamp,Première Ligue - FRA,2002,16,16,1440,16.0,72,4.5,149,78,53.7,1,0,15,0,0.0,3,3,0.0,1.0,6.0,4.0,48.3,0.32,-19.7,40.0,167.0,24.0,500.0,160.0,23.4,30.2,309.0,5.5,15.0,0.94,11.9
Chiamaka Nnadozie,GK,Paris FC,Première Ligue - FRA,2000,15,15,1350,15.0,7,0.47,45,36,84.4,9,5,1,10,66.7,0,0,0.0,0.0,1.0,0.0,8.9,0.2,1.9,58.0,156.0,37.2,480.0,68.0,29.6,32.3,157.0,3.2,38.0,2.53,18.3
Cindy Perrault,GK,EA Guingamp,Première Ligue - FRA,1996,2,2,180,2.0,3,1.5,13,10,76.9,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,3.3,0.25,0.3,2.0,8.0,25.0,72.0,16.0,9.7,24.2,28.0,0.0,4.0,2.0,14.2
Marie Petiteau,GK,Montpellier HSC,Première Ligue - FRA,2002,7,7,630,7.0,13,1.86,40,26,72.5,3,1,3,2,28.6,3,2,33.3,0.0,1.0,1.0,13.1,0.28,1.1,20.0,45.0,44.4,154.0,58.0,19.5,26.7,103.0,2.9,4.0,0.57,13.4
Constance Picaud,GK,FC Fleury 91,Première Ligue - FRA,1998,17,17,1530,17.0,14,0.82,73,57,80.8,8,6,3,10,58.8,0,0,0.0,0.0,0.0,0.0,15.0,0.21,1.0,62.0,146.0,42.5,537.0,139.0,21.0,28.4,220.0,6.8,8.0,0.47,13.9
Alice Pinguet,GK,Dijon FCO,Première Ligue - FRA,2002,6,6,540,6.0,8,1.33,28,20,71.4,4,0,2,3,50.0,0,0,0.0,0.0,0.0,0.0,9.7,0.35,1.7,26.0,83.0,31.3,175.0,44.0,34.9,33.4,102.0,3.9,4.0,0.67,13.7
Katriina Talaslahti,GK,Dijon FCO,Première Ligue - FRA,2000,12,12,1080,12.0,16,1.33,49,32,67.3,6,3,3,5,41.7,1,0,100.0,1.0,3.0,1.0,9.6,0.18,-5.4,37.0,105.0,35.2,395.0,83.0,19.2,27.5,168.0,3.0,10.0,0.83,13.3
Manon Wahl,GK,RC Strasbourg Alsace,Première Ligue - FRA,2001,18,18,1620,18.0,36,2.0,109,69,68.8,1,6,11,4,22.2,3,2,33.3,1.0,3.0,1.0,28.8,0.25,-6.2,62.0,175.0,35.4,590.0,135.0,20.2,28.6,329.0,4.9,16.0,0.89,12.5
Roberta Aprile,GK,Como Women,Serie A - ITA,2000,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,1.8,0.31,-0.2,2.0,3.0,66.7,23.0,4.0,13.0,24.0,11.0,0.0,0.0,0.0,14.0
Roberta Aprile,GK,Sampdoria,Serie A - ITA,2000,4,4,360,4.0,9,2.25,23,14,60.9,0,2,2,0,0.0,0,0,0.0,0.0,1.0,0.0,4.5,0.19,-4.5,18.0,41.0,43.9,64.0,58.0,42.2,37.7,79.0,3.8,0.0,0.0,5.3
Doris Bačić,GK,Napoli Femminile,Serie A - ITA,1995,17,17,1530,17.0,31,1.82,102,71,72.5,2,4,11,4,23.5,3,3,0.0,1.0,3.0,1.0,28.2,0.26,-1.8,75.0,197.0,38.1,388.0,153.0,35.6,34.6,332.0,6.0,2.0,0.12,8.1
Rachele Baldi,GK,Inter,Serie A - ITA,1994,2,2,180,2.0,1,0.5,3,2,66.7,2,0,0,1,50.0,0,0,0.0,0.0,0.0,0.0,1.2,0.4,0.2,12.0,23.0,52.2,73.0,11.0,24.7,28.9,30.0,23.3,2.0,1.0,12.5
Beatrice Beretta,GK,Napoli Femminile,Serie A - ITA,2003,4,4,360,4.0,10,2.5,21,11,61.9,0,1,3,1,25.0,2,2,0.0,0.0,0.0,0.0,8.9,0.35,-1.1,23.0,68.0,33.8,159.0,32.0,30.8,34.7,41.0,7.3,6.0,1.5,14.4
Alessia Cappelletti,GK,Juventus,Serie A - ITA,1998,1,1,90,1.0,3,3.0,6,2,50.0,1,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,1.8,0.32,-1.2,10.0,20.0,50.0,27.0,4.0,59.3,41.8,10.0,0.0,0.0,0.0,0.0
Camelia Ceasar,GK,Roma,Serie A - ITA,1997,14,13,1189,13.2,17,1.29,51,35,68.6,7,4,2,1,7.7,1,1,0.0,0.0,2.0,1.0,14.8,0.28,-1.2,22.0,63.0,34.9,321.0,88.0,13.7,25.0,151.0,4.0,11.0,0.83,13.3
Sara Cetinja,GK,Lazio,Serie A - ITA,2000,21,21,1889,21.0,25,1.19,85,59,71.8,8,4,9,8,38.1,2,1,0.0,0.0,3.0,0.0,19.8,0.23,-5.2,83.0,175.0,47.4,698.0,84.0,22.2,28.1,242.0,2.9,33.0,1.57,18.3
Solène Durand,GK,Sassuolo,Serie A - ITA,1994,18,18,1620,18.0,31,1.72,91,60,71.4,6,4,8,3,16.7,5,5,0.0,1.0,4.0,0.0,26.5,0.25,-4.5,118.0,337.0,35.0,534.0,80.0,52.1,39.4,272.0,9.2,13.0,0.72,11.7
Francesca Durante,GK,Fiorentina,Serie A - ITA,1997,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,0.5,2.0,2.0,5.0,40.0,31.0,3.0,9.7,23.5,5.0,20.0,2.0,2.0,15.4
Cecilie Fiskerstrand,GK,Fiorentina,Serie A - ITA,1996,20,20,1800,20.0,23,1.15,90,65,74.4,9,5,6,7,35.0,3,0,100.0,0.0,1.0,1.0,22.9,0.24,0.9,56.0,153.0,36.6,545.0,127.0,21.8,27.9,283.0,7.1,15.0,0.75,12.1
Astrid Gilardi,GK,Como Women,Serie A - ITA,2003,20,20,1718,19.1,28,1.47,94,66,70.2,9,2,9,6,30.0,3,0,100.0,1.0,3.0,2.0,25.1,0.26,-0.9,85.0,231.0,36.8,533.0,131.0,34.7,34.1,318.0,4.4,14.0,0.73,14.2
