Player,Pos,Squad,League,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,Save%_PK,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,Pass_Cmp_+40y,Pass_Att_+40y,Pass_Cmp_+40y%,GK_Att,GK_Att.1,Pass_Launch%,Pass_AvgLen,Opp,Stp%,#OPA,#OPA/90,AvgDist
Dolores Gallardo,GK,Atlético de Madrid,Liga F - ESP,1993,21,21,1890,21.0,15,0.71,73,59,79.5,11,7,3,11,52.4,0,0,0.0,0.0,3.0,1.0,18.5,0.26,4.5,62.0,129.0,48.1,587.0,135.0,13.8,25.3,257.0,7.8,24.0,1.14,13.2
Noelia García,GK,SD Eibar,Liga F - ESP,1992,1,1,90,1.0,4,4.0,12,8,75.0,0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,4.2,0.29,0.2,4.0,12.0,33.3,14.0,18.0,71.4,44.1,20.0,10.0,0.0,0.0,7.0
Noelia Gil,GK,R. Betis Féminas,Liga F - ESP,1994,5,5,450,5.0,10,2.0,33,23,69.7,1,0,4,1,20.0,0,0,0.0,0.0,1.0,1.0,8.9,0.27,-0.1,18.0,74.0,24.3,168.0,39.0,31.5,32.5,71.0,5.6,10.0,2.0,18.3
Yohana Gómez,GK,Deportivo Abanca,Liga F - ESP,1994,1,1,90,1.0,5,5.0,9,4,44.4,0,0,1,0,0.0,0,0,0.0,0.0,1.0,0.0,3.9,0.43,-1.1,0.0,1.0,0.0,14.0,8.0,7.1,25.7,17.0,5.9,0.0,0.0,7.3
Emma Holmgren,GK,Levante UD,Liga F - ESP,1997,12,11,1046,11.6,20,1.72,57,35,64.9,2,2,7,2,18.2,3,0,100.0,0.0,1.0,0.0,18.7,0.31,-1.3,36.0,83.0,43.4,279.0,82.0,16.5,25.5,122.0,9.0,10.0,0.86,12.3
Patricia Larqué,GK,Atlético de Madrid,Liga F - ESP,1992,2,2,180,2.0,0,0.0,7,7,100.0,0,2,0,2,100.0,0,0,0.0,0.0,0.0,0.0,1.1,0.15,1.1,3.0,5.0,60.0,49.0,17.0,8.2,22.1,35.0,2.9,3.0,1.5,18.1
Elene Lete,GK,Real Sociedad,Liga F - ESP,2002,22,22,1936,21.5,27,1.26,93,68,75.3,10,4,8,9,40.9,4,4,0.0,1.0,0.0,2.0,25.9,0.26,0.9,45.0,118.0,38.1,467.0,163.0,14.3,25.0,246.0,4.9,40.0,1.86,16.6
María López,GK,FC Levante Badalona,Liga F - ESP,2002,15,14,1287,14.3,23,1.61,51,29,54.9,2,4,8,4,28.6,0,0,0.0,0.0,2.0,1.0,20.0,0.4,-2.0,28.0,83.0,33.7,328.0,82.0,20.4,27.7,165.0,3.0,15.0,1.05,16.0
María Miralles,GK,SD Eibar,Liga F - ESP,1997,14,14,1196,13.3,12,0.9,47,35,76.6,4,4,6,7,50.0,1,1,0.0,0.0,0.0,0.0,10.3,0.21,-1.7,86.0,325.0,26.5,311.0,128.0,74.6,49.7,211.0,3.8,11.0,0.83,14.7
Adriana Nanclares,GK,Athletic Club,Liga F - ESP,2002,23,23,2070,23.0,21,0.91,93,75,78.5,13,2,8,9,39.1,1,1,0.0,0.0,2.0,3.0,24.3,0.25,6.3,106.0,262.0,40.5,825.0,166.0,22.3,27.7,340.0,4.7,17.0,0.74,13.6
Inês Pereira,GK,Deportivo Abanca,Liga F - ESP,1999,22,22,1942,21.6,26,1.2,129,104,80.6,5,8,9,8,36.4,1,1,0.0,2.0,6.0,1.0,36.8,0.29,11.8,62.0,242.0,25.6,570.0,184.0,30.2,31.6,418.0,6.0,29.0,1.34,13.0
Noelia Ramos,GK,Costa Adeje Tenerife,Liga F - ESP,1999,22,22,1980,22.0,22,1.0,90,68,77.8,8,8,6,9,40.9,2,2,0.0,0.0,3.0,0.0,23.2,0.25,1.2,124.0,320.0,38.8,599.0,183.0,35.2,32.5,265.0,8.7,16.0,0.73,10.7
Martina Rivas,GK,Deportivo Abanca,Liga F - ESP,2006,1,0,36,0.4,1,2.5,2,1,50.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.52,0.0,3.0,7.0,42.9,5.0,7.0,40.0,33.4,9.0,0.0,1.0,2.5,24.0
Misa Rodríguez,GK,Real Madrid CF,Liga F - ESP,1999,20,20,1800,20.0,19,0.95,59,42,76.3,17,2,1,6,30.0,5,5,0.0,0.0,4.0,2.0,17.7,0.24,0.7,38.0,104.0,36.5,470.0,124.0,14.0,24.6,198.0,6.1,28.0,1.4,15.3
Ellie Roebuck,GK,FC Barcelona,Liga F - ESP,1999,2,2,180,2.0,3,1.5,5,2,40.0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,1.7,0.35,-1.3,1.0,1.0,100.0,36.0,3.0,2.8,17.3,2.0,0.0,8.0,4.0,24.0
Belén Ruíz,GK,Madrid CFF,Liga F - ESP,2004,4,4,360,4.0,10,2.5,27,17,63.0,1,0,3,0,0.0,0,0,0.0,1.0,1.0,0.0,7.8,0.29,-2.2,4.0,27.0,14.8,89.0,49.0,21.3,26.5,44.0,2.3,1.0,0.25,9.0
Enith Salón,GK,VCF Femenino,Liga F - ESP,2001,5,5,450,5.0,6,1.2,30,24,80.0,1,2,2,1,20.0,0,0,0.0,0.0,3.0,0.0,8.1,0.28,2.1,23.0,56.0,41.1,99.0,39.0,31.3,31.8,69.0,7.2,5.0,1.0,12.3
Romane Salvador,GK,RCD Espanyol,Liga F - ESP,1998,21,21,1846,20.5,29,1.41,93,64,69.9,5,8,8,7,33.3,2,1,50.0,0.0,2.0,1.0,33.7,0.35,5.7,142.0,384.0,37.0,404.0,156.0,65.6,45.8,293.0,3.4,9.0,0.44,9.8
Laura Sánchez,GK,Granada CF,Liga F - ESP,2006,10,9,832,9.2,20,2.16,50,32,64.0,3,1,5,3,33.3,2,2,0.0,1.0,3.0,2.0,18.3,0.36,0.3,29.0,72.0,40.3,192.0,50.0,28.6,31.0,83.0,3.6,6.0,0.65,11.2
Olatz Santana,GK,Real Sociedad,Liga F - ESP,1997,1,0,42,0.5,2,4.29,3,1,33.3,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.2,0.08,-1.8,1.0,5.0,20.0,12.0,1.0,33.3,26.7,3.0,0.0,2.0,4.29,19.0
Mar Segarra,GK,RCD Espanyol,Liga F - ESP,2001,4,2,224,2.5,9,3.62,18,10,50.0,0,1,1,1,50.0,0,0,0.0,0.0,2.0,1.0,5.4,0.31,-2.6,7.0,20.0,35.0,36.0,16.0,44.4,34.0,31.0,3.2,0.0,0.0,7.5
Esther Sullastres,GK,Sevilla FC,Liga F - ESP,1993,21,21,1877,20.9,32,1.53,113,79,72.6,7,3,11,6,28.6,3,1,66.7,0.0,5.0,0.0,32.6,0.27,0.6,72.0,284.0,25.4,493.0,184.0,38.1,34.3,287.0,9.4,20.0,0.96,12.4
Andrea Tarazona,GK,Levante UD,Liga F - ESP,2004,12,12,1021,11.3,16,1.41,58,42,74.1,3,3,6,2,16.7,1,1,0.0,0.0,2.0,0.0,22.0,0.37,6.0,24.0,71.0,33.8,209.0,103.0,16.3,25.0,171.0,0.6,9.0,0.79,14.0
Paola Ulloa,GK,Madrid CFF,Liga F - ESP,1996,19,19,1710,19.0,37,1.95,88,51,61.4,6,4,9,0,0.0,3,3,0.0,0.0,6.0,0.0,27.1,0.28,-9.9,36.0,82.0,43.9,396.0,218.0,12.6,24.5,268.0,1.5,11.0,0.58,13.5
Paula Vizoso,GK,R. Betis Féminas,Liga F - ESP,2000,18,18,1620,18.0,31,1.72,93,62,71.0,4,4,10,3,16.7,5,4,20.0,0.0,1.0,1.0,32.8,0.31,2.8,61.0,203.0,30.0,484.0,186.0,27.3,31.1,300.0,4.7,60.0,3.33,17.0
Sophie Baggaley,GK,Brighton & Hove Albion,Women's Super League - ENG,1996,12,12,1080,12.0,21,1.75,62,42,69.4,5,2,5,3,25.0,2,2,0.0,0.0,2.0,1.0,20.4,0.32,0.4,21.0,71.0,29.6,364.0,87.0,12.4,21.0,184.0,7.1,24.0,2.0,16.6
Courtney Brosnan,GK,Everton,Women's Super League - ENG,1995,17,17,1530,17.0,25,1.47,103,79,79.6,5,4,8,4,23.5,4,4,0.0,0.0,2.0,1.0,28.8,0.26,4.8,32.0,95.0,33.7,557.0,99.0,12.0,22.5,300.0,7.3,18.0,1.06,12.3
