Player,Nation,Squad,Posición Principal,Posición Secundaria,League,Born,MP,Min,90s,Gls,Ast,G+A,G-PK,xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,xG+xAG,npxG/90,Sh,SoT,SoT%,SoT/90,G/Sh,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,GCA,GCA90,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,xA,A-xAG,KP,pass_1/3,PPA,CrsPA,PrgP,FK_pass,BallThrough,Switch,Crs,CK_pass,Off,Blocks,Touches,touch_Def Pen,touch_Def 3rd,touch_Mid 3rd,touch_Att 3rd,touch_Att Pen,TO_Succ%,Carries,carries_TotDist,carries_PrgDist,PrgC,carries_1/3,CPA,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off/90,Tkl,TklW,tkl_Def 3rd,tkl_Mid 3rd,tkl_Att 3rd,Tkl/90,Tkl%,Blocks.1,Int,Tkl+Int,Clr,CrdY,CrdR,2CrdY,Fls,Fld,Off.1,PKwon,OG,Recov,Won,Lost,Won%
Laia Ballesté,ESP,RCD Espanyol,DF,None,Liga F - ESP,1999,19,1433,15.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,11,4,36.4,0.25,0.0,33.2,4.0,0,0,0.3,0.3,0.03,-0.3,-0.3,6.0,0.38,1.0,0.06,261.0,421.0,62.0,5804.0,3271.0,83.0,110.0,75.5,128.0,171.0,74.9,49.0,128.0,38.3,0.1,0.0,2.0,16.0,0.0,0.0,13.0,38.0,0.0,2.0,2,0.0,5.0,6.0,596.0,160.0,438.0,146.0,16.0,5.0,100.0,185.0,819.0,484.0,2.0,1.0,0.0,194.0,0.0,75.0,69.2,17,83.0,13,2,10.0,4.0,1.0,13.0,26.0,-13.0,-0.82,-0.1,20.0,16,16.0,3.0,1.0,11.0,47.8,23.0,27,47.0,80.0,4,0,0,10,8,0,0.0,2,55.0,10.0,5.0,66.7
Estefanía Banini,ARG,FC Levante Badalona,MF,FW,Liga F - ESP,1990,18,1194,13.3,1,1,2,1,1.3,0.08,0.08,0.15,0.08,0.19,0.1,0.29,0.19,28,12,42.9,0.9,0.04,19.6,1.0,0,0,2.5,2.5,0.09,-1.5,-1.5,38.0,2.86,2.0,0.15,442.0,589.0,75.0,6744.0,1928.0,248.0,286.0,86.7,152.0,194.0,78.4,24.0,50.0,48.0,1.2,-0.3,12.0,49.0,16.0,3.0,78.0,7.0,0.0,0.0,26,8.0,7.0,27.0,702.0,9.0,55.0,290.0,360.0,30.0,54.5,430.0,1945.0,913.0,30.0,14.0,9.0,515.0,106.0,66.0,57.7,13,82.0,9,5,25.0,1.0,0.94,10.0,15.0,-5.0,-0.38,0.0,16.0,11,5.0,7.0,4.0,3.0,37.5,8.0,7,23.0,7.0,2,0,0,8,15,1,0.0,0,53.0,3.0,5.0,37.5
Leire Baños,ESP,Athletic Club,DF,MF,Liga F - ESP,1996,22,1961,21.8,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,10,0,0.0,0.0,0.0,13.0,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,16.0,0.73,0.0,0.0,1110.0,1292.0,85.9,20590.0,7626.0,364.0,418.0,87.1,668.0,723.0,92.4,66.0,120.0,55.0,0.2,-0.3,8.0,60.0,4.0,0.0,54.0,14.0,0.0,3.0,4,0.0,2.0,13.0,1438.0,177.0,772.0,594.0,80.0,14.0,85.7,814.0,3304.0,1838.0,6.0,4.0,1.0,1039.0,3.0,89.0,94.7,22,89.0,20,0,0.0,0.0,1.82,31.0,20.0,11.0,0.5,-1.19,21.0,11,10.0,9.0,2.0,6.0,54.5,17.0,12,33.0,60.0,2,0,0,26,9,0,0.0,0,104.0,24.0,7.0,77.4
Xenia Barrios,Unknown,Sevilla FC,FW,None,Liga F - ESP,2008,1,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0,0.0,0,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
Merle Barth,GER,Atlético de Madrid,DF,MF,Liga F - ESP,1994,9,317,3.5,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.85,0.0,0.0,187.0,222.0,84.2,3047.0,1040.0,86.0,93.0,92.5,91.0,110.0,82.7,9.0,16.0,56.3,0.1,-0.1,1.0,36.0,2.0,0.0,26.0,2.0,0.0,0.0,4,0.0,0.0,0.0,261.0,14.0,83.0,142.0,36.0,1.0,0.0,164.0,659.0,402.0,5.0,4.0,0.0,182.0,6.0,35.0,15.3,3,78.0,1,6,14.0,8.0,1.78,5.0,3.0,2.0,0.57,0.31,10.0,7,5.0,2.0,3.0,0.0,0.0,6.0,10,20.0,3.0,0,0,0,4,0,0,0.0,0,14.0,4.0,4.0,50.0
Ona Batlle,ESP,FC Barcelona,DF,None,Liga F - ESP,1999,16,1044,11.6,4,7,11,4,2.8,0.34,0.6,0.95,0.34,0.18,0.24,0.42,0.18,12,5,41.7,0.43,0.33,14.5,0.0,0,0,2.1,2.1,0.17,1.9,1.9,51.0,4.4,10.0,0.86,899.0,1002.0,89.7,12483.0,4297.0,579.0,614.0,94.3,276.0,307.0,89.9,26.0,38.0,68.4,3.3,4.2,28.0,102.0,26.0,3.0,122.0,7.0,0.0,2.0,18,1.0,1.0,18.0,1074.0,13.0,142.0,462.0,475.0,50.0,40.0,620.0,2287.0,1224.0,36.0,19.0,10.0,774.0,114.0,65.0,50.4,11,83.0,7,5,25.0,6.0,3.0,54.0,4.0,50.0,4.31,0.11,15.0,14,4.0,8.0,3.0,9.0,60.0,6.0,6,21.0,6.0,0,0,0,11,5,0,1.0,0,71.0,6.0,7.0,46.2
Cristina Baudet,ESP,FC Levante Badalona,FW,MF,Liga F - ESP,1991,4,86,1.0,1,0,1,1,0.0,1.05,0.0,1.05,1.05,0.28,0.03,0.32,0.28,4,2,50.0,2.09,0.25,23.7,0.0,0,0,0.3,0.3,0.07,0.7,0.7,4.0,4.19,0.0,0.0,16.0,30.0,53.3,281.0,90.0,8.0,10.0,80.0,3.0,7.0,42.9,4.0,6.0,66.7,0.1,0.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,6,5.0,0.0,3.0,40.0,0.0,2.0,12.0,26.0,2.0,0.0,19.0,55.0,27.0,1.0,1.0,1.0,25.0,6.0,22.0,4.2,0,0.0,0,4,22.0,12.0,0.5,3.0,3.0,0.0,0.0,0.73,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0,0,0,1,2,0,0.0,0,1.0,0.0,1.0,0.0
Beatriz Beltrán,Unknown,Costa Adeje Tenerife,DF,FW,Liga F - ESP,1997,9,247,2.7,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.06,0.03,0.1,0.06,3,0,0.0,0.0,0.0,14.9,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,5.0,1.82,0.0,0.0,123.0,177.0,69.5,2069.0,1010.0,63.0,78.0,80.8,51.0,66.0,77.3,9.0,29.0,31.0,0.5,-0.1,1.0,12.0,1.0,0.0,18.0,1.0,0.0,0.0,13,5.0,1.0,3.0,208.0,5.0,56.0,91.0,66.0,4.0,50.0,98.0,462.0,249.0,4.0,5.0,1.0,99.0,16.0,27.0,11.9,2,90.0,2,7,10.0,8.0,1.89,3.0,4.0,-1.0,-0.36,0.1,5.0,2,3.0,0.0,2.0,3.0,60.0,2.0,5,10.0,4.0,1,0,0,3,1,0,0.0,0,16.0,2.0,2.0,50.0
Elyse Bennett,USA,Deportivo Abanca,FW,None,Liga F - ESP,1999,4,98,1.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.66,0.02,0.68,0.66,4,3,75.0,2.76,0.0,10.6,0.0,0,0,0.7,0.7,0.18,-0.7,-0.7,3.0,2.76,1.0,0.92,11.0,21.0,52.4,167.0,41.0,6.0,11.0,54.5,3.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,33.0,0.0,1.0,16.0,16.0,6.0,0.0,19.0,60.0,22.0,0.0,0.0,0.0,26.0,8.0,25.0,4.7,1,60.0,0,3,13.0,1.0,0.75,1.0,1.0,0.0,0.0,0.72,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,2,0.0,0,0.0,2.0,0.0,100.0
Claudia Blanco,ESP,Costa Adeje Tenerife,MF,FW,Liga F - ESP,1997,19,1156,12.8,0,1,1,0,1.0,0.0,0.08,0.08,0.0,0.11,0.08,0.19,0.11,12,7,58.3,0.54,0.0,17.4,0.0,0,0,1.4,1.4,0.11,-1.4,-1.4,24.0,1.87,3.0,0.23,244.0,354.0,68.9,3977.0,1727.0,125.0,166.0,75.3,94.0,132.0,71.2,19.0,35.0,54.3,1.2,0.0,11.0,33.0,5.0,3.0,34.0,4.0,0.0,1.0,16,1.0,3.0,9.0,463.0,13.0,142.0,208.0,115.0,19.0,50.0,181.0,664.0,227.0,4.0,3.0,3.0,244.0,30.0,61.0,55.8,13,76.0,2,6,28.0,2.0,1.47,18.0,16.0,2.0,0.16,-0.14,19.0,16,12.0,3.0,4.0,8.0,47.1,8.0,19,38.0,9.0,3,0,0,20,19,4,0.0,0,42.0,3.0,5.0,37.5
