Player,Nation,Squad,Posición Principal,Posición Secundaria,League,Born,MP,Min,90s,Gls,Ast,G+A,G-PK,xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,xG+xAG,npxG/90,Sh,SoT,SoT%,SoT/90,G/Sh,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,GCA,GCA90,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,xA,A-xAG,KP,pass_1/3,PPA,CrsPA,PrgP,FK_pass,BallThrough,Switch,Crs,CK_pass,Off,Blocks,Touches,touch_Def Pen,touch_Def 3rd,touch_Mid 3rd,touch_Att 3rd,touch_Att Pen,TO_Succ%,Carries,carries_TotDist,carries_PrgDist,PrgC,carries_1/3,CPA,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off/90,Tkl,TklW,tkl_Def 3rd,tkl_Mid 3rd,tkl_Att 3rd,Tkl/90,Tkl%,Blocks.1,Int,Tkl+Int,Clr,CrdY,CrdR,2CrdY,Fls,Fld,Off.1,PKwon,OG,Recov,Won,Lost,Won%
Steph Catley,AUS,Arsenal,DF,None,Women's Super League - ENG,1994,14,1153,12.8,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,4,0,0.0,0.0,0.0,7.4,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,18.0,1.41,0.0,0.0,837.0,940.0,89.0,13361.0,5149.0,417.0,439.0,95.0,379.0,406.0,93.3,30.0,58.0,51.7,0.6,-0.5,7.0,76.0,9.0,6.0,70.0,12.0,0.0,0.0,15,3.0,5.0,16.0,1034.0,63.0,377.0,536.0,125.0,14.0,0.0,672.0,3218.0,1681.0,16.0,12.0,1.0,785.0,24.0,82.0,75.4,13,88.0,11,1,14.0,1.0,2.5,39.0,9.0,30.0,2.34,0.45,10.0,4,2.0,6.0,2.0,5.0,45.5,9.0,7,17.0,45.0,1,0,0,4,6,1,0.0,0,52.0,11.0,8.0,57.9
My Cato,SWE,Crystal Palace,MF,None,Women's Super League - ENG,2002,16,1425,15.8,2,2,4,2,0.9,0.13,0.13,0.25,0.13,0.13,0.06,0.18,0.13,17,5,29.4,0.32,0.12,16.8,0.0,0,0,2.0,2.0,0.12,0.0,0.0,15.0,0.95,2.0,0.13,215.0,330.0,65.2,3728.0,1301.0,82.0,111.0,73.9,101.0,136.0,74.3,24.0,44.0,54.5,0.4,1.1,7.0,25.0,11.0,1.0,41.0,1.0,0.0,0.0,20,1.0,4.0,24.0,484.0,32.0,143.0,228.0,123.0,26.0,40.0,233.0,1350.0,561.0,13.0,11.0,2.0,241.0,40.0,89.0,93.1,16,89.0,13,0,0.0,0.0,0.56,15.0,39.0,-24.0,-1.52,2.43,35.0,22,10.0,21.0,4.0,12.0,50.0,17.0,12,47.0,23.0,0,0,0,13,8,0,0.0,0,65.0,11.0,16.0,40.7
Janice Cayman,BEL,Leicester City,MF,DF,Women's Super League - ENG,1988,17,1221,13.6,3,0,3,3,0.7,0.22,0.0,0.22,0.22,0.16,0.05,0.21,0.16,18,9,50.0,0.66,0.17,18.1,0.0,0,0,2.2,2.2,0.12,0.8,0.8,16.0,1.18,2.0,0.15,225.0,348.0,64.7,3780.0,1547.0,121.0,165.0,73.3,79.0,105.0,75.2,23.0,61.0,37.7,0.8,-0.7,6.0,28.0,4.0,0.0,28.0,4.0,0.0,1.0,6,0.0,3.0,5.0,507.0,43.0,188.0,224.0,100.0,23.0,33.3,210.0,900.0,430.0,11.0,5.0,2.0,259.0,23.0,72.0,79.8,15,78.0,6,2,29.0,0.0,0.88,12.0,25.0,-13.0,-0.96,-0.69,27.0,19,13.0,12.0,2.0,10.0,41.7,15.0,18,45.0,29.0,0,0,0,8,12,1,0.0,0,48.0,7.0,13.0,35.0
Niamh Charles,ENG,Chelsea,DF,None,Women's Super League - ENG,1999,8,539,6.0,0,2,2,0,0.5,0.0,0.33,0.33,0.0,0.07,0.08,0.15,0.07,5,2,40.0,0.33,0.0,11.5,0.0,0,0,0.4,0.4,0.08,-0.4,-0.4,15.0,2.5,2.0,0.33,312.0,386.0,80.8,4864.0,2133.0,154.0,179.0,86.0,138.0,160.0,86.3,11.0,19.0,57.9,0.6,1.5,6.0,25.0,6.0,3.0,39.0,6.0,0.0,0.0,11,0.0,1.0,10.0,463.0,14.0,115.0,212.0,140.0,18.0,50.0,206.0,908.0,460.0,12.0,8.0,0.0,249.0,23.0,67.0,35.2,5,86.0,4,3,36.0,1.0,2.75,15.0,3.0,12.0,2.0,0.63,13.0,10,5.0,4.0,4.0,4.0,80.0,10.0,8,21.0,17.0,0,0,0,5,3,2,0.0,0,31.0,18.0,3.0,85.7
Shana Chossenotte,FRA,Leicester City,FW,MF,Women's Super League - ENG,2005,13,654,7.3,0,1,1,0,0.8,0.0,0.14,0.14,0.0,0.03,0.11,0.14,0.03,5,1,20.0,0.14,0.0,17.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,10.0,1.38,1.0,0.14,78.0,146.0,53.4,1165.0,414.0,44.0,67.0,65.7,28.0,49.0,57.1,3.0,7.0,42.9,0.4,0.2,8.0,6.0,2.0,0.0,12.0,0.0,1.0,0.0,13,0.0,2.0,14.0,264.0,6.0,71.0,101.0,98.0,23.0,29.6,175.0,1411.0,567.0,18.0,9.0,8.0,172.0,50.0,50.0,42.7,8,66.0,1,5,25.0,0.0,1.0,7.0,9.0,-2.0,-0.28,-0.19,22.0,16,15.0,6.0,1.0,11.0,55.0,12.0,4,26.0,4.0,0,0,0,11,17,1,0.0,0,42.0,3.0,5.0,37.5
Jenna Clark,SCO,Liverpool,DF,None,Women's Super League - ENG,2001,16,1157,12.9,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,6,2,33.3,0.16,0.0,13.9,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5,14.0,1.09,1.0,0.08,461.0,566.0,81.4,8192.0,2744.0,168.0,199.0,84.4,269.0,299.0,90.0,20.0,49.0,40.8,0.4,-0.5,9.0,35.0,5.0,2.0,37.0,13.0,0.0,0.0,7,0.0,2.0,8.0,730.0,126.0,388.0,284.0,63.0,10.0,57.1,348.0,1869.0,1058.0,14.0,13.0,2.0,422.0,11.0,72.0,75.6,12,84.0,9,4,37.0,1.0,1.13,13.0,23.0,-10.0,-0.78,-0.9,20.0,11,11.0,7.0,2.0,10.0,58.8,20.0,5,25.0,81.0,1,0,0,4,7,0,0.0,0,51.0,19.0,6.0,76.0
Grace Clinton,ENG,Manchester United,MF,FW,Women's Super League - ENG,2003,16,1270,14.1,6,0,6,6,1.5,0.43,0.0,0.43,0.43,0.2,0.11,0.31,0.2,27,13,48.1,0.92,0.22,18.7,1.0,0,0,2.8,2.8,0.1,3.2,3.2,44.0,3.12,6.0,0.43,399.0,554.0,72.0,6089.0,1510.0,218.0,251.0,86.9,141.0,199.0,70.9,27.0,61.0,44.3,1.6,-1.5,18.0,23.0,8.0,1.0,45.0,4.0,6.0,0.0,32,18.0,5.0,13.0,771.0,15.0,127.0,374.0,285.0,43.0,41.0,375.0,1954.0,661.0,16.0,23.0,7.0,425.0,60.0,79.0,83.0,14,88.0,11,2,18.0,1.0,2.25,26.0,7.0,19.0,1.35,-0.78,65.0,42,27.0,23.0,15.0,28.0,51.9,29.0,6,71.0,12.0,4,0,0,23,17,3,0.0,0,129.0,16.0,18.0,47.1
Laia Codina,ESP,Arsenal,DF,None,Women's Super League - ENG,2000,6,410,4.6,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,1,0,0.0,0.0,0.0,7.0,0.0,0,0,0.1,0.1,0.14,-0.1,-0.1,5.0,1.1,0.0,0.0,323.0,351.0,92.0,5821.0,2143.0,117.0,122.0,95.9,184.0,194.0,94.8,16.0,24.0,66.7,0.1,-0.1,1.0,35.0,2.0,0.0,24.0,12.0,1.0,1.0,0,0.0,0.0,3.0,386.0,40.0,166.0,200.0,22.0,1.0,50.0,226.0,1014.0,575.0,5.0,5.0,0.0,296.0,0.0,68.0,26.8,4,90.0,4,2,25.0,8.0,2.33,8.0,2.0,6.0,1.32,-0.46,5.0,4,2.0,2.0,1.0,0.0,0.0,7.0,7,12.0,8.0,1,0,0,2,4,0,0.0,0,21.0,3.0,4.0,42.9
Shannon Cooke,ENG,West Ham United,DF,None,Women's Super League - ENG,2000,8,341,3.8,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.53,0.0,0.0,122.0,173.0,70.5,2875.0,1610.0,27.0,32.0,84.4,66.0,81.0,81.5,29.0,55.0,52.7,0.2,-0.1,1.0,18.0,1.0,0.0,11.0,17.0,0.0,0.0,1,0.0,0.0,4.0,218.0,46.0,147.0,63.0,9.0,1.0,66.7,77.0,375.0,174.0,3.0,1.0,1.0,114.0,1.0,43.0,22.3,3,87.0,2,5,16.0,3.0,0.25,1.0,7.0,-6.0,-1.58,-0.58,9.0,7,7.0,2.0,0.0,3.0,60.0,3.0,6,15.0,23.0,2,0,0,7,1,0,0.0,0,11.0,7.0,4.0,63.6
Laura Coombs,ENG,Manchester City,MF,FW,Women's Super League - ENG,1991,6,129,1.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.21,0.2,1,0,0.0,0.0,0.0,9.0,0.0,0,0,0.3,0.3,0.28,-0.3,-0.3,3.0,2.09,0.0,0.0,45.0,62.0,72.6,678.0,69.0,24.0,29.0,82.8,18.0,24.0,75.0,1.0,3.0,33.3,0.1,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,2,0.0,0.0,2.0,79.0,1.0,9.0,51.0,19.0,3.0,100.0,31.0,91.0,30.0,1.0,2.0,0.0,56.0,6.0,22.0,8.4,1,57.0,0,5,14.0,6.0,1.17,3.0,2.0,1.0,0.7,1.07,3.0,3,2.0,1.0,0.0,1.0,33.3,4.0,0,3.0,1.0,0,0,0,1,1,0,0.0,0,4.0,0.0,0.0,0.0
Kyra Cooney-Cross,AUS,Arsenal,MF,None,Women's Super League - ENG,2002,16,895,9.9,0,2,2,0,0.7,0.0,0.2,0.2,0.0,0.04,0.07,0.12,0.04,10,2,20.0,0.2,0.0,25.3,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,29.0,2.92,5.0,0.5,566.0,640.0,88.4,9628.0,2384.0,269.0,289.0,93.1,238.0,255.0,93.3,45.0,71.0,63.4,1.6,1.3,13.0,44.0,12.0,4.0,55.0,10.0,0.0,5.0,26,12.0,4.0,5.0,732.0,16.0,163.0,370.0,214.0,11.0,51.7,454.0,2237.0,1108.0,20.0,30.0,2.0,532.0,14.0,56.0,58.5,9,78.0,2,7,28.0,1.0,2.25,28.0,6.0,22.0,2.21,0.35,17.0,11,7.0,6.0,4.0,7.0,77.8,3.0,10,27.0,11.0,1,0,0,7,7,1,0.0,0,73.0,5.0,3.0,62.5
Erin Cuthbert,SCO,Chelsea,MF,None,Women's Super League - ENG,1998,14,944,10.5,4,0,4,4,1.1,0.38,0.0,0.38,0.38,0.17,0.1,0.27,0.17,23,9,39.1,0.86,0.17,19.1,0.0,0,0,1.8,1.8,0.08,2.2,2.2,22.0,2.1,1.0,0.1,400.0,476.0,84.0,7262.0,1526.0,159.0,170.0,93.5,195.0,221.0,88.2,39.0,60.0,65.0,1.2,-1.1,9.0,40.0,5.0,1.0,46.0,11.0,0.0,5.0,20,6.0,1.0,12.0,631.0,16.0,136.0,328.0,174.0,32.0,47.4,318.0,1524.0,531.0,15.0,8.0,5.0,373.0,22.0,67.0,61.7,11,79.0,6,3,25.0,0.0,3.0,26.0,3.0,23.0,2.19,0.1,37.0,22,10.0,23.0,4.0,15.0,55.6,20.0,19,56.0,13.0,5,0,0,17,15,1,0.0,0,69.0,7.0,4.0,63.6
Sabrina D'Angelo,CAN,Aston Villa,GK,None,Women's Super League - ENG,1993,17,1493,16.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,0.06,0.0,12.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,4.0,0.24,0.0,0.0,604.0,728.0,83.0,13429.0,8853.0,142.0,144.0,98.6,342.0,356.0,96.1,115.0,221.0,52.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,37.0,0.0,2.0,0,0.0,1.0,0.0,756.0,508.0,741.0,13.0,2.0,1.0,0.0,484.0,2368.0,1682.0,0.0,0.0,0.0,474.0,1.0,88.0,97.6,17,88.0,16,0,0.0,0.0,0.59,16.0,35.0,-19.0,-1.15,0.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,1,0,0,0,4,0,0.0,0,28.0,7.0,2.0,77.8
Kenza Dali,FRA,Aston Villa,MF,FW,Women's Super League - ENG,1991,10,396,4.4,1,1,2,1,1.4,0.23,0.23,0.45,0.23,0.08,0.31,0.39,0.08,6,1,16.7,0.23,0.17,23.3,1.0,0,0,0.3,0.3,0.06,0.7,0.7,28.0,6.36,1.0,0.23,172.0,236.0,72.9,2725.0,998.0,93.0,104.0,89.4,61.0,78.0,78.2,12.0,33.0,36.4,1.0,-0.4,12.0,20.0,14.0,5.0,32.0,7.0,1.0,0.0,39,18.0,3.0,9.0,282.0,5.0,26.0,110.0,150.0,13.0,27.3,166.0,1142.0,522.0,23.0,9.0,3.0,197.0,41.0,40.0,25.9,4,71.0,1,6,19.0,0.0,0.9,6.0,7.0,-1.0,-0.23,0.83,2.0,0,0.0,2.0,0.0,2.0,50.0,6.0,2,4.0,2.0,0,0,0,2,4,3,0.0,0,24.0,1.0,0.0,100.0
Rachel Daly,ENG,Aston Villa,FW,MF,Women's Super League - ENG,1991,17,1453,16.1,5,1,6,4,0.8,0.31,0.06,0.37,0.25,0.32,0.05,0.37,0.27,33,11,33.3,0.68,0.12,13.9,0.0,1,1,5.1,4.4,0.13,-0.1,-0.4,17.0,1.05,2.0,0.12,317.0,425.0,74.6,4794.0,1239.0,166.0,205.0,81.0,110.0,141.0,78.0,21.0,37.0,56.8,0.7,0.2,6.0,40.0,7.0,1.0,59.0,4.0,0.0,4.0,8,0.0,3.0,12.0,602.0,21.0,75.0,312.0,220.0,56.0,38.9,279.0,1191.0,372.0,11.0,10.0,4.0,388.0,65.0,85.0,95.0,17,85.0,10,0,0.0,0.0,0.59,13.0,33.0,-20.0,-1.24,0.62,18.0,8,2.0,11.0,5.0,10.0,52.6,25.0,8,26.0,17.0,2,0,0,11,21,10,0.0,0,43.0,22.0,17.0,56.4
Yana Daniels,BEL,Liverpool,DF,FW,Women's Super League - ENG,1992,8,108,1.2,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.03,0.33,0.36,0.03,1,0,0.0,0.0,0.0,12.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,6.0,5.0,0.0,0.0,49.0,75.0,65.3,774.0,347.0,23.0,31.0,74.2,22.0,31.0,71.0,2.0,10.0,20.0,0.2,-0.4,3.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,5,0.0,0.0,3.0,104.0,5.0,17.0,60.0,27.0,2.0,20.0,45.0,244.0,86.0,1.0,3.0,0.0,50.0,15.0,14.0,7.1,0,0.0,0,8,14.0,8.0,1.25,0.0,3.0,-3.0,-2.5,-0.89,7.0,4,1.0,5.0,1.0,4.0,100.0,2.0,3,10.0,6.0,0,0,0,0,0,0,0.0,0,8.0,4.0,4.0,50.0
Anouk Denton,ENG,West Ham United,DF,MF,Women's Super League - ENG,2003,16,1310,14.6,2,0,2,2,0.4,0.14,0.0,0.14,0.14,0.06,0.02,0.08,0.06,12,5,41.7,0.34,0.17,21.6,0.0,0,0,0.8,0.8,0.07,1.2,1.2,17.0,1.17,0.0,0.0,440.0,606.0,72.6,7551.0,2958.0,193.0,229.0,84.3,213.0,279.0,76.3,29.0,70.0,41.4,0.5,-0.4,4.0,23.0,6.0,1.0,38.0,18.0,0.0,0.0,19,0.0,2.0,14.0,787.0,51.0,385.0,276.0,137.0,12.0,55.6,299.0,2218.0,1100.0,27.0,16.0,5.0,378.0,28.0,82.0,85.6,15,86.0,12,1,27.0,1.0,0.94,16.0,26.0,-10.0,-0.69,-0.16,48.0,40,33.0,15.0,0.0,24.0,54.5,24.0,21,69.0,58.0,0,0,0,7,8,0,0.0,0,74.0,2.0,8.0,20.0
Daphne van Domselaar,NED,Arsenal,GK,None,Women's Super League - ENG,2000,14,1260,14.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,0.0,0.0,435.0,478.0,91.0,8706.0,5200.0,141.0,141.0,100.0,245.0,251.0,97.6,47.0,82.0,57.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,502.0,301.0,498.0,4.0,0.0,0.0,0.0,350.0,1451.0,992.0,0.0,0.0,0.0,363.0,0.0,90.0,82.4,14,90.0,14,0,0.0,2.0,2.29,35.0,10.0,25.0,1.79,-0.42,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0,0,0,0,1,0,0.0,0,13.0,0.0,0.0,0.0
Maddy Duffy,ENG,Liverpool,DF,None,Women's Super League - ENG,2007,1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0,0.0,0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
Hlín Eiríksdóttir,ISL,Leicester City,FW,MF,Women's Super League - ENG,2000,3,121,1.3,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.34,0.18,0.52,0.34,3,0,0.0,0.0,0.0,9.1,0.0,0,0,0.5,0.5,0.15,-0.5,-0.5,3.0,2.23,0.0,0.0,21.0,33.0,63.6,340.0,64.0,7.0,14.0,50.0,11.0,15.0,73.3,1.0,1.0,100.0,0.1,-0.2,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43.0,0.0,1.0,25.0,17.0,6.0,0.0,22.0,79.0,15.0,0.0,1.0,0.0,32.0,3.0,40.0,7.9,2,55.0,0,1,11.0,1.0,1.0,3.0,2.0,1.0,0.74,0.04,2.0,2,0.0,0.0,2.0,1.0,100.0,1.0,0,2.0,0.0,0,0,0,1,1,0,0.0,0,2.0,3.0,3.0,50.0
Mia Enderby,ENG,Liverpool,FW,DF,Women's Super League - ENG,2005,15,527,5.9,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.08,0.06,0.15,0.08,5,1,20.0,0.17,0.0,17.2,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5,10.0,1.71,0.0,0.0,63.0,109.0,57.8,987.0,171.0,31.0,46.0,67.4,25.0,40.0,62.5,5.0,7.0,71.4,0.1,-0.4,3.0,3.0,4.0,0.0,9.0,0.0,1.0,0.0,10,0.0,0.0,10.0,176.0,1.0,14.0,86.0,81.0,15.0,47.1,111.0,650.0,285.0,11.0,9.0,4.0,118.0,39.0,35.0,34.4,4,65.0,0,11,24.0,2.0,1.2,5.0,15.0,-10.0,-1.71,-0.78,13.0,8,2.0,5.0,6.0,2.0,50.0,8.0,1,14.0,1.0,0,0,0,3,16,2,0.0,0,26.0,2.0,8.0,20.0
Bethany England,ENG,Tottenham Hotspur,FW,MF,Women's Super League - ENG,1994,15,1117,12.4,8,1,9,7,0.7,0.64,0.08,0.73,0.56,0.51,0.06,0.57,0.45,37,13,35.1,1.05,0.19,12.0,0.0,1,1,6.4,5.6,0.15,1.6,1.4,27.0,2.18,1.0,0.08,204.0,324.0,63.0,3070.0,867.0,111.0,153.0,72.5,77.0,113.0,68.1,10.0,26.0,38.5,0.8,0.3,10.0,17.0,9.0,0.0,32.0,0.0,1.0,1.0,12,2.0,3.0,13.0,459.0,19.0,90.0,201.0,168.0,50.0,41.2,204.0,789.0,331.0,9.0,7.0,3.0,313.0,53.0,74.0,73.0,12,85.0,10,3,33.0,0.0,1.13,15.0,27.0,-12.0,-0.97,-0.11,8.0,6,3.0,5.0,0.0,1.0,11.1,12.0,3,11.0,20.0,0,0,0,4,5,8,0.0,0,33.0,34.0,35.0,49.3
Gemma Evans,WAL,Liverpool,DF,MF,Women's Super League - ENG,1996,13,714,7.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,2,1,50.0,0.13,0.0,7.0,0.0,0,0,0.3,0.3,0.17,-0.3,-0.3,5.0,0.63,0.0,0.0,320.0,394.0,81.2,6158.0,2051.0,99.0,121.0,81.8,197.0,218.0,90.4,22.0,49.0,44.9,0.1,0.0,2.0,28.0,1.0,0.0,33.0,14.0,0.0,0.0,4,0.0,0.0,7.0,477.0,49.0,246.0,206.0,27.0,2.0,0.0,227.0,1183.0,599.0,4.0,4.0,0.0,285.0,3.0,55.0,46.7,6,80.0,4,7,34.0,3.0,1.54,7.0,11.0,-4.0,-0.5,0.44,26.0,17,18.0,7.0,1.0,12.0,60.0,6.0,11,37.0,33.0,1,0,0,3,1,0,0.0,0,29.0,16.0,5.0,76.2
Aimee Everett,ENG,Crystal Palace,DF,None,Women's Super League - ENG,2001,11,953,10.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,13.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,4.0,0.38,0.0,0.0,443.0,529.0,83.7,9053.0,3204.0,126.0,145.0,86.9,260.0,282.0,92.2,53.0,91.0,58.2,0.2,0.0,0.0,18.0,2.0,0.0,20.0,11.0,0.0,0.0,0,0.0,0.0,5.0,647.0,88.0,438.0,199.0,15.0,6.0,66.7,393.0,2002.0,894.0,5.0,2.0,0.0,436.0,1.0,87.0,62.3,11,87.0,10,0,0.0,0.0,0.45,9.0,31.0,-22.0,-2.08,-0.34,20.0,15,12.0,7.0,1.0,4.0,57.1,13.0,15,35.0,56.0,2,0,0,9,6,0,0.0,0,37.0,4.0,10.0,28.6
Niamh Fahey,IRL,Liverpool,DF,None,Women's Super League - ENG,1987,4,43,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.09,0.0,0.0,18.0,22.0,81.8,345.0,169.0,4.0,6.0,66.7,14.0,16.0,87.5,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,34.0,11.0,25.0,8.0,1.0,0.0,0.0,13.0,102.0,66.0,2.0,1.0,0.0,17.0,1.0,11.0,2.8,0,0.0,0,4,11.0,7.0,0.25,0.0,3.0,-3.0,-6.28,-1.16,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0,1.0,9.0,0,0,0,0,0,0,0.0,0,3.0,0.0,3.0,0.0
Megan Finnigan,ENG,Everton,DF,None,Women's Super League - ENG,1998,12,1080,12.0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,4,0,0.0,0.0,0.0,12.5,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,14.0,1.17,0.0,0.0,579.0,671.0,86.3,10780.0,4325.0,209.0,225.0,92.9,323.0,359.0,90.0,44.0,77.0,57.1,0.3,-0.8,3.0,28.0,0.0,0.0,28.0,13.0,0.0,1.0,1,0.0,1.0,2.0,792.0,176.0,483.0,290.0,21.0,8.0,100.0,459.0,2272.0,1269.0,2.0,3.0,0.0,542.0,2.0,90.0,70.6,12,90.0,12,0,0.0,0.0,0.83,7.0,19.0,-12.0,-1.0,-0.7,4.0,3,3.0,1.0,0.0,3.0,30.0,16.0,15,19.0,70.0,0,0,0,5,1,0,0.0,0,24.0,23.0,18.0,56.1
Mia Fishel,USA,Chelsea,MF,None,Women's Super League - ENG,2001,1,4,0.0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,4.24,3.16,7.4,4.24,1,0,0.0,0.0,0.0,6.3,0.0,0,0,0.2,0.2,0.19,-0.2,-0.2,1.0,22.5,0.0,0.0,5.0,7.0,71.4,64.0,6.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,-0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,10.0,0.0,1.0,4.0,6.0,2.0,0.0,6.0,20.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,0.3,0,0.0,0,1,4.0,1.0,3.0,1.0,0.0,1.0,22.5,13.17,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0,0,0,0,0.0,0,2.0,2.0,1.0,66.7
Grace Fisk,ENG,Liverpool,DF,None,Women's Super League - ENG,1998,12,948,10.5,0,1,1,0,0.4,0.0,0.09,0.09,0.0,0.03,0.04,0.07,0.03,4,0,0.0,0.0,0.0,14.2,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,19.0,1.8,2.0,0.19,453.0,559.0,81.0,7719.0,3302.0,210.0,244.0,86.1,205.0,242.0,84.7,31.0,49.0,63.3,0.4,0.6,5.0,31.0,9.0,4.0,36.0,11.0,0.0,0.0,14,0.0,0.0,15.0,679.0,49.0,274.0,264.0,142.0,8.0,50.0,252.0,1067.0,506.0,6.0,9.0,0.0,348.0,25.0,79.0,62.0,11,84.0,6,1,27.0,0.0,1.08,7.0,19.0,-12.0,-1.14,-0.32,19.0,8,13.0,4.0,2.0,10.0,71.4,9.0,21,40.0,45.0,1,0,0,2,3,0,0.0,0,47.0,13.0,12.0,52.0
Caitlin Foord,AUS,Arsenal,FW,MF,Women's Super League - ENG,1994,16,987,11.0,3,2,5,3,1.3,0.27,0.18,0.46,0.27,0.35,0.12,0.47,0.35,26,9,34.6,0.82,0.12,12.8,0.0,0,0,3.8,3.8,0.15,-0.8,-0.8,33.0,3.01,8.0,0.73,266.0,395.0,67.3,3556.0,1028.0,169.0,201.0,84.1,77.0,124.0,62.1,7.0,28.0,25.0,2.2,0.7,11.0,14.0,24.0,3.0,44.0,0.0,0.0,0.0,36,1.0,1.0,20.0,532.0,4.0,46.0,166.0,328.0,73.0,40.0,343.0,2169.0,1182.0,45.0,19.0,25.0,395.0,140.0,62.0,64.5,12,72.0,2,4,32.0,0.0,2.25,30.0,5.0,25.0,2.28,0.89,19.0,10,6.0,8.0,5.0,8.0,47.1,16.0,6,25.0,3.0,1,0,0,19,13,8,1.0,0,46.0,2.0,12.0,14.3
